city,B06009_002E,B06009_003E,B06009_004E,B06009_005E,B06009_006E,B25077_001E,B27011_014E,B25099_001E,B06007_005E,B06007_008E,B17010B_002E,crit_read_mean,writing_mean,math_mean
"santa clara, california",6682,12156,18402,24154,20819,673600.0,4156,122150.0,4811,14913,113,519,509,521
"santee, california",2698,9544,15493,6804,3245,348100.0,2499,88425.0,1023,1211,25,503,493,524
"santee, california",2698,9544,15493,6804,3245,348100.0,2499,88425.0,1023,1211,25,513,498,528
"vista, california",14589,15608,20855,8465,3699,360700.0,2883,69482.0,20920,2237,33,515,503,523
"vista, california",14589,15608,20855,8465,3699,360700.0,2883,69482.0,20920,2237,33,505,492,508
"vista, california",14589,15608,20855,8465,3699,360700.0,2883,69482.0,20920,2237,33,481,464,487
"san rafael, california",6003,6183,10445,11302,8486,714900.0,1773,118705.0,8254,2240,121,489,496,497
"san rafael, california",6003,6183,10445,11302,8486,714900.0,1773,118705.0,8254,2240,121,524,529,520
"beaumont, california",3371,5940,9964,3542,2714,227200.0,1496,76719.0,2326,1684,69,465,459,474
"rocklin, california",1621,6526,15204,10796,4606,352300.0,2543,99326.0,639,1724,25,537,527,559
"rocklin, california",1621,6526,15204,10796,4606,352300.0,2543,99326.0,639,1724,25,592,560,558
"rocklin, california",1621,6526,15204,10796,4606,352300.0,2543,99326.0,639,1724,25,534,513,542
"corcoran, california",7173,4325,4814,307,153,107000.0,735,40357.0,4268,117,64,451,443,438
"farmersville, california",2580,1584,1268,133,42,114500.0,749,40262.0,2827,14,32,398,388,392
"visalia, california",13460,18646,27908,11816,6016,174400.0,5133,66439.0,12757,3001,208,508,493,452
"visalia, california",13460,18646,27908,11816,6016,174400.0,5133,66439.0,12757,3001,208,477,475,471
"visalia, california",13460,18646,27908,11816,6016,174400.0,5133,66439.0,12757,3001,208,476,457,475
"visalia, california",13460,18646,27908,11816,6016,174400.0,5133,66439.0,12757,3001,208,467,460,470
"visalia, california",13460,18646,27908,11816,6016,174400.0,5133,66439.0,12757,3001,208,481,475,485
"la habra, california",7355,10286,12718,6483,2908,405000.0,3127,82520.0,10755,2162,8,490,475,493
"la habra, california",7355,10286,12718,6483,2908,405000.0,3127,82520.0,10755,2162,8,517,517,523
"hayward, california",20244,26460,29490,18767,6859,364600.0,8184,88693.0,22682,17630,817,442,434,441
"hayward, california",20244,26460,29490,18767,6859,364600.0,8184,88693.0,22682,17630,817,444,446,467
"hayward, california",20244,26460,29490,18767,6859,364600.0,8184,88693.0,22682,17630,817,442,441,454
"hayward, california",20244,26460,29490,18767,6859,364600.0,8184,88693.0,22682,17630,817,433,430,432
"hayward, california",20244,26460,29490,18767,6859,364600.0,8184,88693.0,22682,17630,817,437,430,437
"livermore, california",4947,10049,19777,14993,8414,537200.0,2287,119895.0,4312,2648,43,545,544,561
"livermore, california",4947,10049,19777,14993,8414,537200.0,2287,119895.0,4312,2648,43,551,545,555
"livermore, california",4947,10049,19777,14993,8414,537200.0,2287,119895.0,4312,2648,43,522,511,501
"moreno valley, california",28968,32105,38453,11849,5311,208300.0,12775,68003.0,28770,5155,1957,415,418,413
"moreno valley, california",28968,32105,38453,11849,5311,208300.0,12775,68003.0,28770,5155,1957,400,416,410
"moreno valley, california",28968,32105,38453,11849,5311,208300.0,12775,68003.0,28770,5155,1957,441,437,454
"moreno valley, california",28968,32105,38453,11849,5311,208300.0,12775,68003.0,28770,5155,1957,401,397,409
"moreno valley, california",28968,32105,38453,11849,5311,208300.0,12775,68003.0,28770,5155,1957,388,388,395
"moreno valley, california",28968,32105,38453,11849,5311,208300.0,12775,68003.0,28770,5155,1957,399,400,409
"nuevo, california",1062,1586,1145,424,146,217400.0,432,70687.0,1107,23,25,485,472,483
"adelanto, california",5350,4617,5454,913,143,102500.0,2205,44027.0,4760,272,761,410,409,417
"bloomington, california",5977,3881,3707,808,146,186400.0,1925,50658.0,7168,143,45,444,439,461
"redlands, california",4340,9608,14223,9220,7705,310200.0,2468,95339.0,2315,1712,173,507,481,484
"redlands, california",4340,9608,14223,9220,7705,310200.0,2468,95339.0,2315,1712,173,491,474,499
"redlands, california",4340,9608,14223,9220,7705,310200.0,2468,95339.0,2315,1712,173,532,498,517
"redlands, california",4340,9608,14223,9220,7705,310200.0,2468,95339.0,2315,1712,173,507,495,513
"redlands, california",4340,9608,14223,9220,7705,310200.0,2468,95339.0,2315,1712,173,525,517,535
"rosamond, california",2326,3325,4555,874,478,129400.0,1145,74122.0,1705,293,114,436,430,440
"mission viejo, california",4215,10432,21825,20572,10442,584000.0,3529,112262.0,3617,4266,11,539,536,564
"mission viejo, california",4215,10432,21825,20572,10442,584000.0,3529,112262.0,3617,4266,11,539,519,550
"mission viejo, california",4215,10432,21825,20572,10442,584000.0,3529,112262.0,3617,4266,11,544,523,556
"lodi, california",7798,10536,14017,4878,2570,236100.0,3449,66392.0,7207,2542,16,498,500,531
"lodi, california",7798,10536,14017,4878,2570,236100.0,3449,66392.0,7207,2542,16,494,486,500
