city,B06009_002E,B06009_003E,B06009_004E,B06009_005E,B06009_006E,B25077_001E,B27011_014E,B25099_001E,B06007_005E,B06007_008E,B17010B_002E
"oil, pennsylvania",682,3423,1829,748,276,47700.0,559,45099.0,29,30,1
"butler, pennsylvania",1018,3729,3038,970,405,91600.0,669,54578.0,35,88,8
"philadelphia, pennsylvania",184130,346344,233308,152759,107468,145300.0,99628,51181.0,60905,86596,34644
"new brighton, pennsylvania",429,1836,1168,518,192,69700.0,214,50582.0,34,17,31
"mahanoy, pennsylvania",418,1280,622,260,66,29100.0,308,35075.0,106,18,18
"elizabethtown, pennsylvania",500,2601,1743,1226,730,165100.0,289,78106.0,30,197,48
"east pittsburgh, pennsylvania",117,501,380,99,31,39300.0,75,42368.0,22,31,80
"north braddock, pennsylvania",441,1350,1090,257,114,37400.0,292,38750.0,19,44,191
"linwood, pennsylvania",241,1162,506,137,88,97500.0,290,71579.0,3,42,44
"edgewood, pennsylvania",52,226,469,678,926,180500.0,76,100000.0,20,57,15
"jefferson hills, pennsylvania",332,2388,2088,2064,1153,189700.0,364,86137.0,45,28,15
"pittsburgh, pennsylvania",17430,58724,49566,39961,38038,94700.0,13561,59374.0,1452,9411,5295
"scranton, pennsylvania",7280,19253,12592,6924,3400,103700.0,2872,52415.0,2879,3044,337
"new kensington, pennsylvania",1071,3789,2528,1371,711,89800.0,595,55304.0,117,57,190
"trainer, pennsylvania",155,551,277,83,20,104200.0,82,49167.0,20,17,13
"woodlyn, pennsylvania",697,3337,1751,754,392,187500.0,398,78865.0,98,293,50
"carlisle, pennsylvania",1155,3866,2772,2273,1934,165900.0,828,77140.0,122,540,285
"williamsport, pennsylvania",2457,6900,4853,2196,1270,101900.0,1767,54040.0,58,93,311
"oxford, pennsylvania",704,1289,541,451,211,191700.0,207,63929.0,457,49,22
"west chester, pennsylvania",803,2000,1689,3190,1507,313700.0,821,87445.0,941,200,50
"coaldale, pennsylvania",207,687,447,122,76,47300.0,114,36488.0,7,15,12
"aliquippa, pennsylvania",778,2779,2055,589,412,64700.0,535,40878.0,26,166,416
"erie, pennsylvania",8495,26902,15344,9459,4552,85900.0,4591,49264.0,1267,3364,1222
"palmyra, pennsylvania",500,2330,1281,941,435,148200.0,324,66542.0,45,154,11
"pleasant hill, pennsylvania",147,636,448,262,193,111000.0,74,51339.0,89,29,51
"king of prussia, pennsylvania",769,3188,2629,4709,3225,292400.0,561,86820.0,127,1900,6
"kulpsville, pennsylvania",287,1551,1439,1802,1335,237900.0,334,84314.0,24,370,12
"west homestead, pennsylvania",65,563,381,230,121,106200.0,81,55795.0,3,10,24
"atglen, pennsylvania",122,285,204,116,82,220200.0,76,92143.0,54,2,8
"dupont, washington",99,615,2021,1751,984,294600.0,140,102928.0,29,201,9
"stevenson, washington",142,258,366,160,80,247400.0,67,65556.0,12,8,11
"milton, washington",260,1580,1976,760,382,223800.0,177,74194.0,27,142,12
"seattle, washington",31738,52530,112717,167762,114980,452800.0,22590,106937.0,9269,45785,2431
"aberdeen, washington",1601,3320,4200,963,562,121000.0,660,54155.0,1173,134,8
"okanogan, washington",298,691,469,204,90,116900.0,84,39906.0,7,9,6
"bryn mawr-skyway, washington",1804,2953,3452,2041,949,279600.0,517,77077.0,252,2270,211
"alderwood manor, washington",504,1690,2332,1252,571,295400.0,465,72391.0,218,644,60
